src,dst,edge_type
RDBECOLIPMC00001,RDBECOLIGNC03824,DRIVES
RDBECOLIPMC00002,RDBECOLIGNC04124,DRIVES
RDBECOLIPMC00002,RDBECOLIGNC04123,DRIVES
RDBECOLIPMC00003,RDBECOLIGNC04173,DRIVES
RDBECOLIPMC00003,RDBECOLIGNC04172,DRIVES
RDBECOLIPMC00004,RDBECOLIGNC04180,DRIVES
RDBECOLIPMC00004,RDBECOLIGNC04181,DRIVES
RDBECOLIPMC01878,RDBECOLIGNC02343,DRIVES
RDBECOLIPMC01878,RDBECOLIGNC04414,DRIVES
RDBECOLIPMC00005,RDBECOLIGNC00815,DRIVES
RDBECOLIPMC00006,RDBECOLIGNC00496,DRIVES
RDBECOLIPMC00007,RDBECOLIGNC00496,DRIVES
RDBECOLIPMC00008,RDBECOLIGNC04210,DRIVES
RDBECOLIPMC00009,RDBECOLIGNC00752,DRIVES
RDBECOLIPMC00009,RDBECOLIGNC00820,DRIVES
RDBECOLIPMC00009,RDBECOLIGNC01058,DRIVES
RDBECOLIPMC00010,RDBECOLIGNC00132,DRIVES
RDBECOLIPMC00010,RDBECOLIGNC02284,DRIVES
RDBECOLIPMC00011,RDBECOLIGNC02343,DRIVES
RDBECOLIPMC00011,RDBECOLIGNC04414,DRIVES
RDBECOLIPMC00012,RDBECOLIGNC04475,DRIVES
RDBECOLIPMC00013,RDBECOLIGNC00408,DRIVES
RDBECOLIPMC00014,RDBECOLIGNC02041,DRIVES
RDBECOLIPMC00014,RDBECOLIGNC01623,DRIVES
RDBECOLIPMC00014,RDBECOLIGNC01622,DRIVES
RDBECOLIPMC00014,RDBECOLIGNC00888,DRIVES
RDBECOLIPMC00014,RDBECOLIGNC01621,DRIVES
RDBECOLIPMC00017,RDBECOLIGNC03918,DRIVES
RDBECOLIPMC00018,RDBECOLIGNC01960,DRIVES
RDBECOLIPMC00019,RDBECOLIGNC03911,DRIVES
RDBECOLIPMC00019,RDBECOLIGNC03002,DRIVES
RDBECOLIPMC00019,RDBECOLIGNC03912,DRIVES
RDBECOLIPMC03024,RDBECOLIGNC00849,DRIVES
RDBECOLIPMC00021,RDBECOLIGNC01316,DRIVES
RDBECOLIPMC00022,RDBECOLIGNC03006,DRIVES
RDBECOLIPMC00022,RDBECOLIGNC03005,DRIVES
RDBECOLIPMC00022,RDBECOLIGNC03004,DRIVES
RDBECOLIPMC00022,RDBECOLIGNC01597,DRIVES
RDBECOLIPMC00022,RDBECOLIGNC01596,DRIVES
RDBECOLIPMC00022,RDBECOLIGNC01317,DRIVES
RDBECOLIPMC00023,RDBECOLIGNC02955,DRIVES
RDBECOLIPMC00023,RDBECOLIGNC02346,DRIVES
RDBECOLIPMC00023,RDBECOLIGNC02345,DRIVES
RDBECOLIPMC00023,RDBECOLIGNC02344,DRIVES
RDBECOLIPMC00023,RDBECOLIGNC03269,DRIVES
RDBECOLIPMC00024,RDBECOLIGNC00553,DRIVES
RDBECOLIPMC00025,RDBECOLIGNC02131,DRIVES
RDBECOLIPMC00026,RDBECOLIGNC01660,DRIVES
RDBECOLIPMC00026,RDBECOLIGNC01659,DRIVES
RDBECOLIPMC00027,RDBECOLIGNC00730,DRIVES
RDBECOLIPMC00028,RDBECOLIGNC03223,DRIVES
RDBECOLIPMC00028,RDBECOLIGNC03222,DRIVES
RDBECOLIPMC00028,RDBECOLIGNC03221,DRIVES
RDBECOLIPMC00029,RDBECOLIGNC02175,DRIVES
RDBECOLIPMC00030,RDBECOLIGNC00636,DRIVES
RDBECOLIPMC00030,RDBECOLIGNC00637,DRIVES
RDBECOLIPMC00031,RDBECOLIGNC03772,DRIVES
RDBECOLIPMC00031,RDBECOLIGNC03771,DRIVES
RDBECOLIPMC00031,RDBECOLIGNC03770,DRIVES
RDBECOLIPMC00032,RDBECOLIGNC01501,DRIVES
RDBECOLIPMC00033,RDBECOLIGNC04223,DRIVES
RDBECOLIPMC00034,RDBECOLIGNC01237,DRIVES
RDBECOLIPMC00034,RDBECOLIGNC04527,DRIVES
RDBECOLIPMC00035,RDBECOLIGNC01626,DRIVES
RDBECOLIPMC00035,RDBECOLIGNC01627,DRIVES
RDBECOLIPMC00036,RDBECOLIGNC01351,DRIVES
RDBECOLIPMC00037,RDBECOLIGNC03916,DRIVES
RDBECOLIPMC00038,RDBECOLIGNC04640,DRIVES
RDBECOLIPMC00039,RDBECOLIGNC01259,DRIVES
RDBECOLIPMC00439,RDBECOLIGNC00183,DRIVES
RDBECOLIPMC00380,RDBECOLIGNC03825,DRIVES
RDBECOLIPMC00380,RDBECOLIGNC03826,DRIVES
RDBECOLIPMC00380,RDBECOLIGNC03827,DRIVES
RDBECOLIPMC00380,RDBECOLIGNC03828,DRIVES
RDBECOLIPMC00380,RDBECOLIGNC03829,DRIVES
RDBECOLIPMC00381,RDBECOLIGNC03825,DRIVES
RDBECOLIPMC00381,RDBECOLIGNC03826,DRIVES
RDBECOLIPMC00381,RDBECOLIGNC03827,DRIVES
RDBECOLIPMC00381,RDBECOLIGNC03828,DRIVES
RDBECOLIPMC00381,RDBECOLIGNC03829,DRIVES
RDBECOLIPMC00382,RDBECOLIGNC03825,DRIVES
RDBECOLIPMC00382,RDBECOLIGNC03826,DRIVES
RDBECOLIPMC00382,RDBECOLIGNC03827,DRIVES
RDBECOLIPMC00382,RDBECOLIGNC03828,DRIVES
RDBECOLIPMC00382,RDBECOLIGNC03829,DRIVES
RDBECOLIPMC00383,RDBECOLIGNC01492,DRIVES
RDBECOLIPMC00384,RDBECOLIGNC04252,DRIVES
RDBECOLIPMC00384,RDBECOLIGNC04253,DRIVES
RDBECOLIPMC00384,RDBECOLIGNC02243,DRIVES
RDBECOLIPMC00384,RDBECOLIGNC02445,DRIVES
RDBECOLIPMC00385,RDBECOLIGNC02731,DRIVES
RDBECOLIPMC00385,RDBECOLIGNC04597,DRIVES
RDBECOLIPMC00386,RDBECOLIGNC01269,DRIVES
RDBECOLIPMC00386,RDBECOLIGNC01760,DRIVES
RDBECOLIPMC00387,RDBECOLIGNC01269,DRIVES
RDBECOLIPMC03786,RDBECOLIGNC04542,DRIVES
RDBECOLIPMC03787,RDBECOLIGNC04542,DRIVES
RDBECOLIPMC00388,RDBECOLIGNC00228,DRIVES
RDBECOLIPMC00388,RDBECOLIGNC00227,DRIVES
RDBECOLIPMC00388,RDBECOLIGNC00226,DRIVES
RDBECOLIPMC00390,RDBECOLIGNC01545,DRIVES
RDBECOLIPMC00390,RDBECOLIGNC01544,DRIVES
RDBECOLIPMC00390,RDBECOLIGNC01607,DRIVES
RDBECOLIPMC00390,RDBECOLIGNC01543,DRIVES
RDBECOLIPMC00390,RDBECOLIGNC01542,DRIVES
RDBECOLIPMC00391,RDBECOLIGNC00777,DRIVES
RDBECOLIPMC00392,RDBECOLIGNC00777,DRIVES
RDBECOLIPMC00393,RDBECOLIGNC01715,DRIVES
RDBECOLIPMC00394,RDBECOLIGNC03024,DRIVES
RDBECOLIPMC00395,RDBECOLIGNC02507,DRIVES
RDBECOLIPMC00395,RDBECOLIGNC02514,DRIVES
RDBECOLIPMC00395,RDBECOLIGNC02446,DRIVES
RDBECOLIPMC00395,RDBECOLIGNC02480,DRIVES
RDBECOLIPMC00395,RDBECOLIGNC02521,DRIVES
RDBECOLIPMC03736,RDBECOLIGNC02508,DRIVES
RDBECOLIPMC03736,RDBECOLIGNC02515,DRIVES
RDBECOLIPMC03736,RDBECOLIGNC02469,DRIVES
RDBECOLIPMC03736,RDBECOLIGNC02522,DRIVES
RDBECOLIPMC00396,RDBECOLIGNC02509,DRIVES
RDBECOLIPMC00396,RDBECOLIGNC02516,DRIVES
RDBECOLIPMC00396,RDBECOLIGNC02470,DRIVES
RDBECOLIPMC00396,RDBECOLIGNC02523,DRIVES
RDBECOLIPMC00397,RDBECOLIGNC02509,DRIVES
RDBECOLIPMC00397,RDBECOLIGNC02516,DRIVES
RDBECOLIPMC00397,RDBECOLIGNC02470,DRIVES
RDBECOLIPMC00397,RDBECOLIGNC02523,DRIVES
RDBECOLIPMC00398,RDBECOLIGNC02511,DRIVES
RDBECOLIPMC00398,RDBECOLIGNC02518,DRIVES
RDBECOLIPMC00398,RDBECOLIGNC02471,DRIVES
RDBECOLIPMC00398,RDBECOLIGNC02525,DRIVES
RDBECOLIPMC00399,RDBECOLIGNC02512,DRIVES
RDBECOLIPMC00399,RDBECOLIGNC02519,DRIVES
RDBECOLIPMC00399,RDBECOLIGNC02472,DRIVES
RDBECOLIPMC00399,RDBECOLIGNC02526,DRIVES
RDBECOLIPMC00400,RDBECOLIGNC02512,DRIVES
RDBECOLIPMC00400,RDBECOLIGNC02519,DRIVES
RDBECOLIPMC00400,RDBECOLIGNC02472,DRIVES
RDBECOLIPMC00400,RDBECOLIGNC02526,DRIVES
RDBECOLIPMC00401,RDBECOLIGNC02513,DRIVES
RDBECOLIPMC00401,RDBECOLIGNC02520,DRIVES
RDBECOLIPMC00401,RDBECOLIGNC02448,DRIVES
RDBECOLIPMC00401,RDBECOLIGNC02482,DRIVES
RDBECOLIPMC00401,RDBECOLIGNC02527,DRIVES
RDBECOLIPMC00402,RDBECOLIGNC02513,DRIVES
RDBECOLIPMC00402,RDBECOLIGNC02520,DRIVES
RDBECOLIPMC00402,RDBECOLIGNC02448,DRIVES
RDBECOLIPMC00402,RDBECOLIGNC02482,DRIVES
RDBECOLIPMC00402,RDBECOLIGNC02527,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02528,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02540,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02510,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02517,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02447,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02481,DRIVES
RDBECOLIPMC00403,RDBECOLIGNC02524,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02528,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02540,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02510,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02517,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02447,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02481,DRIVES
RDBECOLIPMC00404,RDBECOLIGNC02524,DRIVES
RDBECOLIPMC03689,RDBECOLIGNC00818,DRIVES
RDBECOLIPMC03689,RDBECOLIGNC00236,DRIVES
RDBECOLIPMC03688,RDBECOLIGNC00818,DRIVES
RDBECOLIPMC03688,RDBECOLIGNC00236,DRIVES
RDBECOLIPMC03687,RDBECOLIGNC00818,DRIVES
RDBECOLIPMC03687,RDBECOLIGNC00236,DRIVES
RDBECOLIPMC03686,RDBECOLIGNC00818,DRIVES
RDBECOLIPMC03686,RDBECOLIGNC00236,DRIVES
RDBECOLIPMC00405,RDBECOLIGNC02110,DRIVES
RDBECOLIPMC03619,RDBECOLIGNC00365,DRIVES
RDBECOLIPMC00406,RDBECOLIGNC02000,DRIVES
RDBECOLIPMC00407,RDBECOLIGNC01562,DRIVES
RDBECOLIPMC00409,RDBECOLIGNC01997,DRIVES
RDBECOLIPMC00409,RDBECOLIGNC01224,DRIVES
RDBECOLIPMC02610,RDBECOLIGNC02965,DRIVES
RDBECOLIPMC00325,RDBECOLIGNC01518,DRIVES
RDBECOLIPMC03289,RDBECOLIGNC01522,DRIVES
RDBECOLIPMC03098,RDBECOLIGNC01995,DRIVES
RDBECOLIPMC03098,RDBECOLIGNC02953,DRIVES
RDBECOLIPMC03098,RDBECOLIGNC01525,DRIVES
RDBECOLIPMC03098,RDBECOLIGNC01524,DRIVES
RDBECOLIPMC03098,RDBECOLIGNC01523,DRIVES
RDBECOLIPMC03097,RDBECOLIGNC02674,DRIVES
RDBECOLIPMC03097,RDBECOLIGNC01690,DRIVES
RDBECOLIPMC03097,RDBECOLIGNC02979,DRIVES
RDBECOLIPMC03280,RDBECOLIGNC00523,DRIVES
RDBECOLIPMC00632,RDBECOLIGNC00332,DRIVES
RDBECOLIPMC03274,RDBECOLIGNC00259,DRIVES
RDBECOLIPMC00282,RDBECOLIGNC02007,DRIVES
RDBECOLIPMC00282,RDBECOLIGNC02006,DRIVES
RDBECOLIPMC00282,RDBECOLIGNC01729,DRIVES
RDBECOLIPMC00530,RDBECOLIGNC01499,DRIVES
RDBECOLIPMC03292,RDBECOLIGNC02323,DRIVES
RDBECOLIPMC03208,RDBECOLIGNC01619,DRIVES
RDBECOLIPMC00410,RDBECOLIGNC02643,DRIVES
RDBECOLIPMC00410,RDBECOLIGNC00352,DRIVES
RDBECOLIPMC03293,RDBECOLIGNC00597,DRIVES
RDBECOLIPMC03070,RDBECOLIGNC01077,DRIVES
RDBECOLIPMC03070,RDBECOLIGNC02204,DRIVES
RDBECOLIPMC03070,RDBECOLIGNC02203,DRIVES
RDBECOLIPMC03071,RDBECOLIGNC00219,DRIVES
RDBECOLIPMC00411,RDBECOLIGNC02643,DRIVES
RDBECOLIPMC00411,RDBECOLIGNC00352,DRIVES
RDBECOLIPMC00411,RDBECOLIGNC00312,DRIVES
RDBECOLIPMC00533,RDBECOLIGNC03003,DRIVES
RDBECOLIPMC00533,RDBECOLIGNC03027,DRIVES
RDBECOLIPMC00534,RDBECOLIGNC02033,DRIVES
RDBECOLIPMC00534,RDBECOLIGNC02218,DRIVES
RDBECOLIPMC00534,RDBECOLIGNC03028,DRIVES
RDBECOLIPMC03297,RDBECOLIGNC01673,DRIVES
RDBECOLIPMC00314,RDBECOLIGNC01590,DRIVES
RDBECOLIPMC03588,RDBECOLIGNC00352,DRIVES
RDBECOLIPMC03173,RDBECOLIGNC01593,DRIVES
RDBECOLIPMC03173,RDBECOLIGNC01592,DRIVES
RDBECOLIPMC00272,RDBECOLIGNC03040,DRIVES
RDBECOLIPMC00272,RDBECOLIGNC03039,DRIVES
RDBECOLIPMC00296,RDBECOLIGNC03048,DRIVES
RDBECOLIPMC00296,RDBECOLIGNC03047,DRIVES
RDBECOLIPMC00296,RDBECOLIGNC03046,DRIVES
RDBECOLIPMC00296,RDBECOLIGNC03045,DRIVES
RDBECOLIPMC03222,RDBECOLIGNC03048,DRIVES
RDBECOLIPMC03222,RDBECOLIGNC03047,DRIVES
RDBECOLIPMC03222,RDBECOLIGNC03046,DRIVES
RDBECOLIPMC00219,RDBECOLIGNC01078,DRIVES
RDBECOLIPMC02410,RDBECOLIGNC03061,DRIVES
RDBECOLIPMC02410,RDBECOLIGNC03060,DRIVES
RDBECOLIPMC00699,RDBECOLIGNC03077,DRIVES
RDBECOLIPMC03300,RDBECOLIGNC03092,DRIVES
RDBECOLIPMC03300,RDBECOLIGNC03091,DRIVES
RDBECOLIPMC03300,RDBECOLIGNC03090,DRIVES
RDBECOLIPMC03300,RDBECOLIGNC03089,DRIVES
RDBECOLIPMC00707,RDBECOLIGNC03093,DRIVES
RDBECOLIPMC00708,RDBECOLIGNC03094,DRIVES
RDBECOLIPMC03285,RDBECOLIGNC03096,DRIVES
RDBECOLIPMC03285,RDBECOLIGNC02574,DRIVES
RDBECOLIPMC00719,RDBECOLIGNC03100,DRIVES
RDBECOLIPMC00719,RDBECOLIGNC03101,DRIVES
