src,dst,edge_type
sigma70,RDBECOLIPMC00001,BINDS
sigma24,RDBECOLIPMC00002,BINDS
sigma24,RDBECOLIPMC00003,BINDS
sigma24,RDBECOLIPMC00004,BINDS
sigma70,RDBECOLIPMC00005,BINDS
sigma70,RDBECOLIPMC00006,BINDS
sigma70,RDBECOLIPMC00007,BINDS
sigma24,RDBECOLIPMC00008,BINDS
sigma24,RDBECOLIPMC00009,BINDS
sigma24,RDBECOLIPMC00010,BINDS
sigma70,RDBECOLIPMC00011,BINDS
sigma24,RDBECOLIPMC00012,BINDS
sigma24,RDBECOLIPMC00013,BINDS
sigma24,RDBECOLIPMC00014,BINDS
sigma70,RDBECOLIPMC00019,BINDS
sigma70,RDBECOLIPMC03024,BINDS
sigma70,RDBECOLIPMC00021,BINDS
sigma70,RDBECOLIPMC00022,BINDS
sigma70,RDBECOLIPMC00023,BINDS
sigma24,RDBECOLIPMC00024,BINDS
sigma24,RDBECOLIPMC00025,BINDS
sigma24,RDBECOLIPMC00026,BINDS
sigma24,RDBECOLIPMC00027,BINDS
sigma24,RDBECOLIPMC00028,BINDS
sigma24,RDBECOLIPMC00029,BINDS
sigma24,RDBECOLIPMC00030,BINDS
sigma24,RDBECOLIPMC00031,BINDS
sigma24,RDBECOLIPMC00032,BINDS
sigma24,RDBECOLIPMC00033,BINDS
sigma24,RDBECOLIPMC00034,BINDS
sigma24,RDBECOLIPMC00035,BINDS
sigma24,RDBECOLIPMC00036,BINDS
sigma24,RDBECOLIPMC00037,BINDS
sigma70,RDBECOLIPMC00439,BINDS
sigma70,RDBECOLIPMC00380,BINDS
sigma54,RDBECOLIPMC00381,BINDS
sigma38,RDBECOLIPMC00382,BINDS
sigma70,RDBECOLIPMC00383,BINDS
sigma70,RDBECOLIPMC00384,BINDS
sigma70,RDBECOLIPMC00385,BINDS
sigma70,RDBECOLIPMC00386,BINDS
sigma70,RDBECOLIPMC00387,BINDS
sigma24,RDBECOLIPMC03786,BINDS
sigma70,RDBECOLIPMC00392,BINDS
sigma70,RDBECOLIPMC00393,BINDS
sigma38,RDBECOLIPMC00394,BINDS
sigma70,RDBECOLIPMC00395,BINDS
sigma70,RDBECOLIPMC03736,BINDS
sigma70,RDBECOLIPMC00396,BINDS
sigma70,RDBECOLIPMC00397,BINDS
sigma70,RDBECOLIPMC00398,BINDS
sigma70,RDBECOLIPMC00399,BINDS
sigma70,RDBECOLIPMC00400,BINDS
sigma70,RDBECOLIPMC00401,BINDS
sigma70,RDBECOLIPMC00402,BINDS
sigma70,RDBECOLIPMC00403,BINDS
sigma70,RDBECOLIPMC00404,BINDS
sigma70,RDBECOLIPMC03689,BINDS
sigma70,RDBECOLIPMC03688,BINDS
sigma70,RDBECOLIPMC03687,BINDS
sigma70,RDBECOLIPMC03686,BINDS
sigma38,RDBECOLIPMC00405,BINDS
sigma70,RDBECOLIPMC03619,BINDS
sigma70,RDBECOLIPMC00406,BINDS
sigma70,RDBECOLIPMC00409,BINDS
sigma70,RDBECOLIPMC02610,BINDS
sigma54,RDBECOLIPMC00325,BINDS
sigma38,RDBECOLIPMC03289,BINDS
sigma70,RDBECOLIPMC03098,BINDS
sigma70,RDBECOLIPMC03097,BINDS
sigma70,RDBECOLIPMC03280,BINDS
sigma32,RDBECOLIPMC00632,BINDS
