src,dst,edge_type
RDBECOLITFC00043,RDBECOLITFC00111,COOPERATES_WITH
RDBECOLITFC00111,RDBECOLITFC00111,COOPERATES_WITH
RDBECOLITFC00111,RDBECOLITFC00160,COOPERATES_WITH
RDBECOLITFC00111,RDBECOLITFC00104,COOPERATES_WITH
RDBECOLITFC00160,RDBECOLITFC00104,COOPERATES_WITH
RDBECOLITFC00138,RDBECOLITFC00085,COOPERATES_WITH
RDBECOLITFC00085,RDBECOLITFC00085,COOPERATES_WITH
RDBECOLITFC00160,RDBECOLITFC00218,COOPERATES_WITH
RDBECOLITFC00240,RDBECOLITFC00240,COOPERATES_WITH
RDBECOLITFC00240,RDBECOLITFC00218,COOPERATES_WITH
RDBECOLITFC00240,RDBECOLITFC00049,COOPERATES_WITH
RDBECOLITFC00049,RDBECOLITFC00218,COOPERATES_WITH
RDBECOLITFC00005,RDBECOLITFC00160,COOPERATES_WITH
RDBECOLITFC00005,RDBECOLITFC00070,COOPERATES_WITH
RDBECOLITFC00005,RDBECOLITFC00044,COOPERATES_WITH
RDBECOLITFC00160,RDBECOLITFC00070,COOPERATES_WITH
RDBECOLITFC00160,RDBECOLITFC00044,COOPERATES_WITH
RDBECOLITFC00070,RDBECOLITFC00044,COOPERATES_WITH
RDBECOLITFC00070,RDBECOLITFC00070,COOPERATES_WITH
RDBECOLITFC00044,RDBECOLITFC00070,COOPERATES_WITH
RDBECOLITFC00044,RDBECOLITFC00044,COOPERATES_WITH
RDBECOLITFC00005,RDBECOLITFC00005,COOPERATES_WITH
RDBECOLITFC00160,RDBECOLITFC00005,COOPERATES_WITH
RDBECOLITFC00009,RDBECOLITFC00009,COOPERATES_WITH
RDBECOLITFC00009,RDBECOLITFC00022,COOPERATES_WITH
RDBECOLITFC00022,RDBECOLITFC00022,COOPERATES_WITH
RDBECOLITFC00092,RDBECOLITFC00129,COOPERATES_WITH
RDBECOLITFC00092,RDBECOLITFC00105,COOPERATES_WITH
RDBECOLITFC00092,RDBECOLITFC00187,COOPERATES_WITH
RDBECOLITFC00129,RDBECOLITFC00105,COOPERATES_WITH
RDBECOLITFC00129,RDBECOLITFC00129,COOPERATES_WITH
RDBECOLITFC00129,RDBECOLITFC00187,COOPERATES_WITH
