src,dst,edge_type
RDBECOLITFC00032,RDBECOLIGNC01817,REGULATES
RDBECOLITFC00032,RDBECOLIGNC01816,REGULATES
RDBECOLITFC00032,RDBECOLIGNC01365,REGULATES
RDBECOLITFC00064,RDBECOLIGNC02043,REGULATES
RDBECOLITFC00114,RDBECOLIGNC02043,REGULATES
RDBECOLITFC00171,RDBECOLIGNC02043,REGULATES
RDBECOLITFC00168,RDBECOLIGNC02392,REGULATES
RDBECOLITFC00168,RDBECOLIGNC02951,REGULATES
RDBECOLITFC00094,RDBECOLIGNC01365,REGULATES
RDBECOLITFC00128,RDBECOLIGNC01365,REGULATES
RDBECOLITFC00092,RDBECOLIGNC00080,REGULATES
RDBECOLITFC00086,RDBECOLIGNC00549,REGULATES
RDBECOLITFC00110,RDBECOLIGNC01975,REGULATES
RDBECOLITFC00115,RDBECOLIGNC02371,REGULATES
RDBECOLITFC00086,RDBECOLIGNC02371,REGULATES
RDBECOLITFC00151,RDBECOLIGNC01113,REGULATES
RDBECOLITFC00161,RDBECOLIGNC01113,REGULATES
RDBECOLITFC00191,RDBECOLIGNC00791,REGULATES
RDBECOLITFC00191,RDBECOLIGNC00792,REGULATES
RDBECOLITFC00054,RDBECOLIGNC03040,REGULATES
RDBECOLITFC00054,RDBECOLIGNC03039,REGULATES
RDBECOLITFC00152,RDBECOLIGNC02683,REGULATES
RDBECOLITFC00190,RDBECOLIGNC00660,REGULATES
RDBECOLITFC00070,RDBECOLIGNC00660,REGULATES
RDBECOLITFC00190,RDBECOLIGNC03867,REGULATES
RDBECOLITFC00190,RDBECOLIGNC03866,REGULATES
RDBECOLITFC00029,RDBECOLIGNC04102,REGULATES
RDBECOLITFC00131,RDBECOLIGNC00685,REGULATES
RDBECOLITFC00086,RDBECOLIGNC02007,REGULATES
RDBECOLITFC00160,RDBECOLIGNC01587,REGULATES
RDBECOLITFC00133,RDBECOLIGNC03242,REGULATES
RDBECOLITFC00160,RDBECOLIGNC03242,REGULATES
RDBECOLITFC00133,RDBECOLIGNC03498,REGULATES
RDBECOLITFC00160,RDBECOLIGNC03498,REGULATES
RDBECOLITFC00103,RDBECOLIGNC00568,REGULATES
RDBECOLITFC00103,RDBECOLIGNC02371,REGULATES
RDBECOLITFC00070,RDBECOLIGNC03736,REGULATES
RDBECOLITFC00054,RDBECOLIGNC03045,REGULATES
RDBECOLITFC00190,RDBECOLIGNC00400,REGULATES
RDBECOLITFC00190,RDBECOLIGNC02493,REGULATES
RDBECOLITFC00188,RDBECOLIGNC04718,REGULATES
RDBECOLITFC00188,RDBECOLIGNC04117,REGULATES
RDBECOLITFC00072,RDBECOLIGNC03502,REGULATES
RDBECOLITFC00072,RDBECOLIGNC03503,REGULATES
RDBECOLITFC00072,RDBECOLIGNC03504,REGULATES
RDBECOLITFC00072,RDBECOLIGNC03505,REGULATES
RDBECOLITFC00202,RDBECOLIGNC03318,REGULATES
RDBECOLITFC00073,RDBECOLIGNC03650,REGULATES
RDBECOLITFC00143,RDBECOLIGNC02354,REGULATES
RDBECOLITFC00011,RDBECOLIGNC04010,REGULATES
RDBECOLITFC00102,RDBECOLIGNC03122,REGULATES
RDBECOLITFC00102,RDBECOLIGNC03326,REGULATES
RDBECOLITFC00102,RDBECOLIGNC00454,REGULATES
RDBECOLITFC00005,RDBECOLIGNC03601,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00449,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00295,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00133,REGULATES
RDBECOLITFC00005,RDBECOLIGNC02008,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00641,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01259,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00942,REGULATES
RDBECOLITFC00005,RDBECOLIGNC02424,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00539,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00989,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00498,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01208,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00871,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00433,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01236,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00940,REGULATES
RDBECOLITFC00005,RDBECOLIGNC02069,REGULATES
RDBECOLITFC00005,RDBECOLIGNC03779,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01280,REGULATES
RDBECOLITFC00005,RDBECOLIGNC04654,REGULATES
RDBECOLITFC00005,RDBECOLIGNC03851,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01338,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01339,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01590,REGULATES
RDBECOLITFC00005,RDBECOLIGNC00830,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01267,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01418,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01441,REGULATES
RDBECOLITFC00005,RDBECOLIGNC04591,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01419,REGULATES
RDBECOLITFC00005,RDBECOLIGNC01420,REGULATES
RDBECOLITFC00005,RDBECOLIGNC03129,REGULATES
RDBECOLITFC00012,RDBECOLIGNC01033,REGULATES
RDBECOLITFC00012,RDBECOLIGNC00133,REGULATES
RDBECOLITFC00086,RDBECOLIGNC01033,REGULATES
RDBECOLITFC00012,RDBECOLIGNC01023,REGULATES
RDBECOLITFC00012,RDBECOLIGNC00747,REGULATES
RDBECOLITFC00012,RDBECOLIGNC00194,REGULATES
RDBECOLITFC00012,RDBECOLIGNC00887,REGULATES
RDBECOLITFC00086,RDBECOLIGNC01006,REGULATES
RDBECOLITFC00190,RDBECOLIGNC01006,REGULATES
RDBECOLITFC00086,RDBECOLIGNC02695,REGULATES
RDBECOLITFC00083,RDBECOLIGNC02943,REGULATES
RDBECOLITFC00140,RDBECOLIGNC02943,REGULATES
RDBECOLITFC00012,RDBECOLIGNC00656,REGULATES
RDBECOLITFC00086,RDBECOLIGNC03693,REGULATES
RDBECOLITFC00129,RDBECOLIGNC00911,REGULATES
RDBECOLITFC00050,RDBECOLIGNC00911,REGULATES
RDBECOLITFC00110,RDBECOLIGNC01141,REGULATES
RDBECOLITFC00180,RDBECOLIGNC03928,REGULATES
RDBECOLITFC00160,RDBECOLIGNC02700,REGULATES
RDBECOLITFC00069,RDBECOLIGNC04125,REGULATES
RDBECOLITFC00003,RDBECOLIGNC02699,REGULATES
RDBECOLITFC00003,RDBECOLIGNC02927,REGULATES
RDBECOLITFC00188,RDBECOLIGNC00424,REGULATES
RDBECOLITFC00188,RDBECOLIGNC02318,REGULATES
RDBECOLITFC00188,RDBECOLIGNC00410,REGULATES
RDBECOLITFC00188,RDBECOLIGNC02390,REGULATES
RDBECOLITFC00188,RDBECOLIGNC01235,REGULATES
RDBECOLITFC00188,RDBECOLIGNC00842,REGULATES
RDBECOLITFC00188,RDBECOLIGNC03350,REGULATES
RDBECOLITFC00188,RDBECOLIGNC02643,REGULATES
RDBECOLITFC00188,RDBECOLIGNC00352,REGULATES
RDBECOLITFC00188,RDBECOLIGNC01380,REGULATES
RDBECOLITFC00188,RDBECOLIGNC02939,REGULATES
RDBECOLITFC00188,RDBECOLIGNC03957,REGULATES
RDBECOLITFC00188,RDBECOLIGNC01814,REGULATES
RDBECOLITFC00188,RDBECOLIGNC02122,REGULATES
RDBECOLITFC00188,RDBECOLIGNC00503,REGULATES
RDBECOLITFC00188,RDBECOLIGNC00673,REGULATES
RDBECOLITFC00188,RDBECOLIGNC02553,REGULATES
RDBECOLITFC00094,RDBECOLIGNC01221,REGULATES
RDBECOLITFC00003,RDBECOLIGNC00665,REGULATES
RDBECOLITFC00003,RDBECOLIGNC01365,REGULATES
