tfId,tfName,geneCodingForTF,geneBnumberCodingForTF
RDBECOLITFC00001,YafC,yafC,b0208
RDBECOLITFC00002,NemR,nemR,b1649
RDBECOLITFC00003,PhoP,phoP,b1130
RDBECOLITFC00004,NhaR,nhaR,b0020
RDBECOLITFC00005,NsrR,nsrR,b4178
RDBECOLITFC00006,TorR,torR,b0995
RDBECOLITFC00007,FabR,fabR,b3963
RDBECOLITFC00008,ComR,comR,b1111
RDBECOLITFC00009,ArgR,argR,b3237
RDBECOLITFC00010,IlvY,ilvY,b3773
RDBECOLITFC00011,RcnR,rcnR,b2105
RDBECOLITFC00012,CytR,cytR,b3934
RDBECOLITFC00013,MlrA,mlrA,b2127
RDBECOLITFC00014,PrpR,prpR,b0330
RDBECOLITFC00015,MatA,matA,b0294
RDBECOLITFC00016,AlaS,alaS,b2697
RDBECOLITFC00017,ArgP,argP,b2916
RDBECOLITFC00018,GlcC,glcC,b2980
RDBECOLITFC00019,PuuR,puuR,b1299
RDBECOLITFC00020,YiaU,yiaU,b3585
RDBECOLITFC00021,FeaR,feaR,b1384
RDBECOLITFC00022,NtrC,glnG,b3868
RDBECOLITFC00023,Mlc,mlc,b1594
RDBECOLITFC00024,SrsR,srsR,b2921
RDBECOLITFC00025,YeiL,yeiL,b2163
RDBECOLITFC00026,MprA,mprA,b2684
RDBECOLITFC00027,FrmR,frmR,b0357
RDBECOLITFC00028,TdcA,tdcA,b3118
RDBECOLITFC00029,EvgA,evgA,b2369
RDBECOLITFC00030,TyrR,tyrR,b1323
RDBECOLITFC00031,CaiF,caiF,b0034
RDBECOLITFC00032,GadW,gadW,b3515
RDBECOLITFC00033,IdnR,idnR,b4264
RDBECOLITFC00034,RhaS,rhaS,b3905
RDBECOLITFC00035,UvrY,uvrY,b1914
RDBECOLITFC00036,DinJ-YafQ,yafQ;dinJ,b0225;b0226
RDBECOLITFC00037,HcaR,hcaR,b2537
RDBECOLITFC00038,CysB,cysB,b1275
RDBECOLITFC00039,NfeR,nfeR,b3071
RDBECOLITFC00040,CspA,cspA,b3556
RDBECOLITFC00041,MazE,mazE,b2783
RDBECOLITFC00042,PspF,pspF,b1303
RDBECOLITFC00043,CpxR,cpxR,b3912
RDBECOLITFC00044,NarP,narP,b2193
RDBECOLITFC00045,MetJ,metJ,b3938
RDBECOLITFC00046,YdaT,ydaT,b1358
RDBECOLITFC00047,ZraR,zraR,b4004
RDBECOLITFC00048,AdiY,adiY,b4116
RDBECOLITFC00049,PdeL,pdeL,b0315
RDBECOLITFC00050,H-NS,hns,b1237
RDBECOLITFC00051,AlsR,alsR,b4089
RDBECOLITFC00052,PaaX,paaX,b1399
RDBECOLITFC00053,RclR,rclR,b0305
RDBECOLITFC00054,LexA,lexA,b4043
RDBECOLITFC00055,YqhC,yqhC,b3010
RDBECOLITFC00056,YefM,yefM,b2017
RDBECOLITFC00057,YieP,yieP,b3755
RDBECOLITFC00058,DeoR,deoR,b0840
RDBECOLITFC00059,HicB,hicB,b1438
RDBECOLITFC00060,MarA,marA,b1531
RDBECOLITFC00061,StpA,stpA,b2669
RDBECOLITFC00062,DecR,decR,b0447
RDBECOLITFC00063,CadC,cadC,b4133
RDBECOLITFC00064,GalR,galR,b2837
RDBECOLITFC00065,ChbR,chbR,b1735
RDBECOLITFC00066,FhlA,fhlA,b2731
RDBECOLITFC00067,MazEF,mazF;mazE,b2782;b2783
RDBECOLITFC00068,HipAB,hipB;hipA,b1508;b1507
RDBECOLITFC00069,MurR,murR,b2427
RDBECOLITFC00070,NarL,narL,b1221
RDBECOLITFC00071,HipB,hipB,b1508
RDBECOLITFC00072,BluR,bluR,b1162
RDBECOLITFC00073,YgiV,ygiV,b3023
RDBECOLITFC00074,MraZ,mraZ,b0081
RDBECOLITFC00075,IclR,iclR,b4018
RDBECOLITFC00076,FadR,fadR,b1187
RDBECOLITFC00077,HdfR,hdfR,b4480
RDBECOLITFC00078,OmpR,ompR,b3405
RDBECOLITFC00079,GlaR,glaR,b2664
