geneId,geneName,bnumber,leftEndPos,rightEndPos,strand
RDBECOLIGNC00001,alr,b4053,4265782.0,4266861.0,forward
RDBECOLIGNC00002,modB,b0764,795862.0,796551.0,forward
RDBECOLIGNC00003,cysZ,b2413,2531463.0,2532224.0,forward
RDBECOLIGNC00004,dfp,b3639,3812731.0,3813951.0,forward
RDBECOLIGNC00005,dcuB,b4123,4347404.0,4348744.0,reverse
RDBECOLIGNC00006,hisM,b2307,2424517.0,2425233.0,reverse
RDBECOLIGNC00007,zraS,b4003,4201926.0,4203323.0,forward
RDBECOLIGNC00008,rhsE,b1456,1527890.0,1529938.0,forward
RDBECOLIGNC00009,yaaA,b0006,5683.0,6459.0,reverse
RDBECOLIGNC00010,cydC,b0886,927474.0,929195.0,reverse
RDBECOLIGNC00011,mepM,b1856,1940313.0,1941635.0,reverse
RDBECOLIGNC00012,acrD,b2470,2587595.0,2590708.0,forward
RDBECOLIGNC00013,rodZ,b2516,2641831.0,2642844.0,reverse
RDBECOLIGNC00014,garL,b3126,3272787.0,3273557.0,reverse
RDBECOLIGNC00015,ispB,b3187,3333710.0,3334681.0,forward
RDBECOLIGNC00016,csrD,b3252,3401392.0,3403332.0,reverse
RDBECOLIGNC00017,cpxR,b3912,4104972.0,4105670.0,reverse
RDBECOLIGNC00018,yjiA,b4352,4587909.0,4588865.0,reverse
RDBECOLIGNC00019,aceA,b4015,4217109.0,4218413.0,forward
RDBECOLIGNC00020,aceB,b4014,4215478.0,4217079.0,forward
RDBECOLIGNC00021,aceE,b0114,123017.0,125680.0,forward
RDBECOLIGNC00022,aceF,b0115,125695.0,127587.0,forward
RDBECOLIGNC00023,aceK,b4016,4218596.0,4220332.0,forward
RDBECOLIGNC00024,ackA,b2296,2413470.0,2414672.0,forward
RDBECOLIGNC00025,pflA,b0902,950340.0,951080.0,reverse
RDBECOLIGNC00026,ada,b2213,2309341.0,2310405.0,reverse
RDBECOLIGNC00027,add,b1623,1702233.0,1703234.0,forward
